COC_FECH,COC_FVTO,COC_PRNU,COC_PRNO,COC_PRDO,COC_PRTD,COC_TIVA,COC_COMP,COC_ASOC,COC_REMI,COC_TCOM,COC_ABEX,COC_CBTE,COC_VEND,OPE_OPER,COC_DEPO,COC_COPR,COC_STOC,COC_MPCO,COC_MCRE,COC_DTC,COC_NGRA,COC_NEXE,COC_NOTR,COC_NE27,COC_IV21,COC_IV10,COC_IV27,COC_IV50,COC_MO21,COC_MO10,COC_MO27,COC_NNGR,COC_PEIB,COC_TOTA,CFG_ID,COC_FREM,NUM_SUCU,COC_IVA,COC_CMIS,COC_DEST,COC_DEPR,COC_FACL,COC_OFID,COC_FCVD,TOBC,PER_01,XPERCIIB,PER_02,XPERCIVA,ORDEN,TGNU
2018-05-02,,5,ALAMBRES Y SOLDADURAS SA      ,30558257519  ,2,2,Fact A 1001-00026928,,,4,,,0,BUENOS AIRES 155116500CRI          ,0,0,0,0,0,0.0,2409.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.05,0.0,0.0,0.0,0.0,2915.83,0,,0,,,0,0.0,0,0,0,0.0,0.0,,0.0,,1,1
2018-05-02,,5,ALAMBRES Y SOLDADURAS SA      ,30558257519  ,2,2,Fact A 1001-00026927,,,4,,,0,BUENOS AIRES 155116500CRI          ,0,0,0,0,0,0.0,28330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5949.41,0.0,0.0,0.0,0.0,34279.95,0,,0,,,0,0.0,0,0,0,0.0,0.0,,0.0,,1,1
2018-05-02,,5,ALAMBRES Y SOLDADURAS SA      ,30558257519  ,2,2,Fact A 1028-00086081,,,4,,,0,BUENOS AIRES 155116500CRI          ,0,0,0,0,0,0.0,22464.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4717.53,0.0,0.0,0.0,0.0,27181.95,0,,0,,,0,0.0,0,0,0,0.0,0.0,,0.0,,1,1
2018-05-02,,150,MAQUINAS Y HERR.ARGENTINA SA  ,33709221979  ,2,2,Fact A 0002-00005035,,,4,,,0,BUENOS AIRES                       ,0,0,0,0,0,0.0,3326.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.53,0.0,0.0,0.0,0.0,4024.86,0,,0,,,0,0.0,0,0,0,0.0,0.0,,0.0,,1,1
2018-05-02,,262,PARCT SRL                     ,30523000116  ,2,2,Fact A 0004-00005340,,,4,,,0,BS AS                              ,0,0,0,0,0,0.0,4329.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.22,0.0,0.0,0.0,0.0,5238.82,0,,0,,,0,0.0,0,0,0,0.0,0.0,,0.0,,1,1
2018-05-02,,116,GAN MAR SRL                   ,30557499942  ,2,2,Fact A 0011-00038486,,,4,,,0,SANTA FE                           ,0,0,0,0,0,0.0,3030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.3,0.0,0.0,0.0,0.0,3666.3,0,,0,,,0,0.0,0,0,0,0.0,0.0,,0.0,,1,1
2018-05-02,,4,BULONFER S.R.L.               ,30632604498  ,2,2,Fact A 0005-00174793,,,4,,,0,BUENOS AIRES                       ,0,0,0,0,0,0.0,1180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.8,0.0,0.0,0.0,0.0,1486.8,0,,0,,,0,0.0,0,0,0,0.0,59.0,,0.0,,1,1
2018-05-02,,4,BULONFER S.R.L.               ,30632604498  ,2,2,Fact A 0005-00174794,,,4,,,0,BUENOS AIRES                       ,0,0,0,0,0,0.0,12748.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2677.09,0.0,0.0,0.0,0.0,16062.56,0,,0,,,0,0.0,0,0,0,0.0,637.4,,0.0,,1,1
2018-05-02,,633,GASATEX SA                    ,30644416417  ,2,2,Fact A 0004-00022537,,,4,,,0, 1-BUENOS AIRES                    ,0,0,0,0,0,0.0,25500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5355.0,0.0,0.0,0.0,0.0,32130.0,0,,0,,,0,0.0,0,0,0,0.0,1275.0,,0.0,,1,1
2018-05-02,,165,MEYER ELECTROMECANICA SRL     ,30606006043  ,2,2,Fact A 0003-00003897,,,4,,,0,SANTA FE                           ,0,0,0,0,0,0.0,5228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1097.88,0.0,0.0,0.0,0.0,6325.88,0,,0,,,0,0.0,0,0,0,0.0,0.0,,0.0,,1,3
2018-05-02,,165,MEYER ELECTROMECANICA SRL     ,30606006043  ,2,2,Fact A 0003-00003896,,,4,,,0,SANTA FE                           ,0,0,0,0,0,0.0,630.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.41,0.0,0.0,0.0,0.0,762.93,0,,0,,,0,0.0,0,0,0,0.0,0.0,,0.0,,1,1
2018-05-03,,133,EMAPI SA                      ,30503037226  ,2,2,Fact A 0079-00009678,,,4,,,0,SANTA FE                           ,0,0,0,0,0,0.0,5613.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.77,0.0,0.0,0.0,0.0,7072.63,0,,0,,,0,0.0,0,0,0,0.0,280.66,,0.0,,1,1
2018-05-03,,53,INFOSEEK S.A.                 ,30708700610  ,2,2,Fact A 0001-00002089,,,4,,,0,BUENOS AIRES                       ,0,0,0,0,0,0.0,0.0,0.0,19276.02,0.0,0.0,0.0,0.0,0.0,0.0,2023.98,0.0,0.0,0.0,21300.0,0,,0,,,0,0.0,0,0,0,0.0,0.0,,0.0,,1,1
2018-05-03,,5,ALAMBRES Y SOLDADURAS SA      ,30558257519  ,2,2,Fact A 1028-00086116,,,4,,,0,BUENOS AIRES 155116500CRI          ,0,0,0,0,0,0.0,2250.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.7,0.0,0.0,0.0,0.0,2723.66,0,,0,,,0,0.0,0,0,0,0.0,0.0,,0.0,,1,1
2018-05-03,,5,ALAMBRES Y SOLDADURAS SA      ,30558257519  ,2,2,Fact A 1028-00086118,,,4,,,0,BUENOS AIRES 155116500CRI          ,0,0,0,0,0,0.0,0.0,0.0,68598.4,0.0,0.0,0.0,0.0,0.0,0.0,7202.83,0.0,0.0,0.0,75801.23,0,,0,,,0,0.0,0,0,0,0.0,0.0,,0.0,,1,1
2018-05-03,,83,TRANSPORTE HENIN              ,20049731257  ,2,2,Fact A 0005-00031839,,,4,,,0,BUENOS AIRES                       ,0,0,0,0,0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,0.0,0.0,0.0,0.0,169.4,0,,0,,,0,0.0,0,0,0,0.0,0.0,,0.0,,1,1
2018-05-03,,258,MAFERSA SAIC                  ,30558939504  ,2,2,Fact A 0003-00059672,,,4,,,0,BUENOS AIRES                       ,0,0,0,0,0,0.0,10043.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2109.12,0.0,0.0,0.0,0.0,12654.71,0,,0,,,0,0.0,0,0,0,0.0,502.17,,0.0,,1,1
