VTC_FECH,VTC_HORA,VTC_CLNU,VTC_CLNO,VTC_CLDO,VTC_CLTD,VTC_TIVA,VTC_COMP,VTC_TCOM,VTC_ABEX,VTC_CBTE,VTC_VEND,VTC_BASE,VTC_MONE,VTC_LIST,VTC_DTC,VTC_COST,VTC_NGRA,VTC_NEXE,VTC_NOTR,VTC_IV21,VTC_IV10,VTC_MO21,VTC_MO10,VTC_IVOT,VTC_NNGR,VTC_IVNO,VTC_NNIN,VTC_PEIB,VTC_TOTA,VTC_MP11,VTC_MP12,VTC_MP13,VTC_MP14,VTC_MP21,VTC_MP22,VTC_MP23,VTC_MP24,VTC_MP31,VTC_MP32,VTC_MP33,VTC_MP34,VTC_OBSE,VTC_FREM,OPE_OPER,VTC_NCAJ,CFG_ID,NUM_SUCU,VTC_LTRA,VTC_REPA,VTC_DEPO,VTC_OTOS,VTC_LACO,VTC_TDPO,VTC_TDMO,VTC_MESA,VTC_FLCO,VTC_CAE,VTC_COBS,VTC_CVTO,VTC_CPAG,VTC_CFIS,VTC_CFFS,VTC_CBAR,VTC_OFID,VTC_CGAS,PER_01,XPERCII,ORDEN,KEY
2019-07-01,,5813,ATELSTAM SA                   ,30715778250  ,2,2,Fact A 0003-00024561,3,,,0,0,0,0,0.0,0.0,1719.69,0.0,0.0,0.0,0.0,361.13,0.0,0.0,0.0,0.0,0.0,0.0,2080.82,,,0.0,0,,,0.0,0,,,0.0,0,,, 1-BUENOS AIRES                    ,0,79851,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,0.0,,1,20190701000323
2019-07-01,,5813,ATELSTAM SA                   ,30715778250  ,2,2,Fact A 0003-00024562,3,,,0,0,0,0,0.0,0.0,8522.45,0.0,0.0,0.0,0.0,1789.71,0.0,0.0,0.0,0.0,0.0,0.0,10312.16,,,0.0,0,,,0.0,0,,,0.0,0,,, 1-BUENOS AIRES                    ,0,79853,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,0.0,,1,20190701000323
2019-07-01,,5811,ENTRE SRL                     ,30556408390  ,2,2,Fact A 0003-00024563,3,,,0,0,0,0,0.0,0.0,1476.73,0.0,0.0,0.0,0.0,310.11,0.0,0.0,0.0,0.0,0.0,0.0,1810.47,,,0.0,0,,,0.0,0,,,0.0,0,,, 1-BUENOS AIRES                    ,0,79857,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,23.63,,1,20190701000323
2019-07-01,,567,MET Y SERV RODO SRL           ,30710355653  ,2,2,Fact A 0003-00024564,3,,,0,0,0,0,0.0,0.0,12284.93,0.0,0.0,0.0,0.0,2579.84,0.0,0.0,0.0,0.0,0.0,0.0,15601.87,,,0.0,0,,,0.0,0,,,0.0,0,,,BUENOS AIRES                       ,0,79859,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,737.1,,1,20190701000323
2019-07-01,,50,ASSA                          ,30708740000  ,2,2,Fact A 0003-00024565,3,,,0,0,0,0,0.0,0.0,7256.04,0.0,0.0,0.0,0.0,1523.77,0.0,0.0,0.0,0.0,0.0,0.0,8961.21,,,0.0,0,,,0.0,0,,,0.0,0,,,BUENOS AIRES                       ,0,79862,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,181.4,,1,20190701000323
2019-07-01,,50,ASSA                          ,30708740000  ,2,2,Fact A 0003-00024566,3,,,0,0,0,0,0.0,0.0,14096.3,0.0,0.0,0.0,0.0,2960.22,0.0,0.0,0.0,0.0,0.0,0.0,17408.93,,,0.0,0,,,0.0,0,,,0.0,0,,,BUENOS AIRES                       ,0,79863,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,352.41,,1,20190701000323
2019-07-01,,182,LOBERAZ SA                    ,30648524761  ,2,2,Fact A 0003-00024567,3,,,0,0,0,0,0.0,0.0,26988.82,0.0,0.0,0.0,0.0,5667.65,0.0,0.0,0.0,0.0,0.0,0.0,33088.29,,,0.0,0,,,0.0,0,,,0.0,0,,,BUENOS AIRES                       ,0,79867,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,431.82,,1,20190701000323
2019-07-01,,38,METALVOS S.R.L.               ,30693839153  ,2,2,Fact A 0003-00024568,3,,,0,0,0,0,0.0,0.0,43424.0,0.0,0.0,0.0,0.0,9119.04,0.0,0.0,0.0,0.0,0.0,0.0,52543.04,,,0.0,0,,,0.0,0,,,0.0,0,,,BUENOS AIRES                       ,0,79871,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,0.0,,1,20190701000323
2019-07-01,,5763,LAMORSAN S.A.                 ,30667053966  ,2,2,Fact A 0003-00024569,3,,,0,0,0,0,0.0,0.0,17275.76,0.0,0.0,0.0,0.0,3627.91,0.0,0.0,0.0,0.0,0.0,0.0,20903.67,,,0.0,0,,,0.0,0,,,0.0,0,,, 1-BUENOS AIRES                    ,0,79873,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,0.0,,1,20190701000323
2019-07-01,,175,HEFESTO SRL                   ,33680921119  ,2,2,Fact A 0003-00024570,3,,,0,0,0,0,0.0,0.0,1123.36,0.0,0.0,0.0,0.0,235.91,0.0,0.0,0.0,0.0,0.0,0.0,1359.27,,,0.0,0,,,0.0,0,,,0.0,0,,,SANTA FE                           ,0,79875,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,0.0,,1,20190701000323
